JLE ,TIPO NOMINA ,BANCO ,MONTO
SL,PE HONO,OB,4829.56
SP,PE HONO,OB,4362.51
TS,PE HONO,OB,6252.11
TS,PE HONO,OB,5972.94
TS,PE HONO,OB,7912.98
TS,PE HONO,OB,5972.94
VZ,PE HONO,OB,5678.71
VZ,PE HONO,OB,4829.56
YN,PE HONO,OB,6819.1
YN,PE HONO,OB,4829.56
CH,PE HONO,OB,4829.56
CH,PE HONO,OB,5678.71
CH,PE HONO,OB,4829.56
CH,PE HONO,OB,4829.56
CH,PE HONO,OB,5730.83
CH,PE HONO,OB,4829.56
CH,PE HONO,OB,4829.56
DG,PE HONO,OB,4829.56
GR,PE HONO,OB,4829.56
GR,PE HONO,OB,5678.71
HG PEN,PE HONO,OB,1476.95
AG,PE HONO,OB,5972.94
AG,PE HONO,OB,5972.94
BC,PE HONO,OB,5972.94
BC,PE HONO,OB,6782.55
BC,PE HONO,OB,7025.05
CC,PE HONO,OB,4829.56
CC,PE HONO,OB,4829.56
CL,PE HONO,OB,5972.94
CS,PE HONO,OB,777.7
HG,PE HONO,OB,4362.51
JC,PE HONO,OB,6819.1
JC,PE HONO,OB,5125.08
MN,PE HONO,OB,4829.56
MN,PE HONO,OB,4829.56
MN,PE HONO,OB,6819.1
MN,PE HONO,OB,5125.08
MX,PE HONO,OB,6208.85
MX,PE HONO,OB,4829.56
MX,PE HONO,OB,4829.56
MX,PE HONO,OB,777.7
MX,PE HONO,OB,9656.01
MX,PE HONO,OB,8231.85
NL,PE HONO,OB,4829.56
NL,PE HONO,OB,4362.51
OC,PE HONO,OB,6208.85
OC,PE HONO,OB,7312.18
OC,PE HONO,OB,4362.51
OC,PE HONO,OB,8154.8
OC,PE HONO,OB,4829.56
OFC,PE HONO,OB,6211.21
QR,PE HONO,OB,5972.94
QT,PE HONO,OB,4829.56
QT,PE HONO,OB,4829.56
AG,PE HONO,BBVA ,5972.94
BC,PE HONO,BBVA ,5972.94
BC,PE HONO,BBVA ,5972.94
CH,PE HONO,BBVA ,4829.56
JC,PE HONO,BBVA ,6819.1
JC,PE HONO,BBVA ,5125.08
JC,PE HONO,BBVA ,5125.08
JC,PE HONO,BBVA ,9656.01
MN,PE HONO,BBVA ,4829.56
MX,PE HONO,BBVA ,6208.85
MX,PE HONO,BBVA ,4829.56
NT,PE HONO,BBVA ,7312.18
PL,PE HONO,BBVA ,5125.08
TS,PE HONO,BBVA ,7312.18
MN,PE EXTRA ,BBVA ,143761
NT,PE EXTRA ,BBVA ,300448
